1,Шахта,mine
2,Марка вунілля,mark
5,Вугілля відправлено з початку місяця – план,coal_sent_month_plan
6,Вугілля відправлено з початку місяця – факт,coal_sent_month_fact
11,Вугілля відправлено з початку року – план,coal_sent_year_plan
12,Вугілля відправлено з початку року – факт,coal_sent_year_fact
